Ticker,Sector,EMA_9,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,BB_Upper,BB_Lower,Cumulative_Return (%)
TCS.NS,IT,3783.48,3765.67,3683.97,81.7,81.02,64.42,3944.17,3466.35,75.0
INFY.NS,IT,1544.92,1537.78,1507.01,30.77,29.55,58.42,1604.91,1422.08,109.39
HDFCBANK.NS,Banking,841.57,836.77,817.09,19.67,18.38,70.07,862.47,789.86,33.68
ICICIBANK.NS,Banking,1003.14,1002.52,990.74,11.78,15.96,42.65,1043.46,968.97,85.67
RELIANCE.NS,Oil & Gas,1280.15,1272.53,1244.78,27.74,24.07,71.33,1316.5,1183.12,87.28
ITC.NS,FMCG,457.73,456.64,452.35,4.29,3.92,64.7,464.39,446.69,94.08
TATAMOTORS.NS,Automobiles,739.42,734.28,716.3,17.98,15.17,73.04,760.07,687.97,322.85
M&M.NS,Automobiles,1690.45,1683.92,1654.64,29.28,28.72,59.52,1746.01,1609.34,222.29
SUNPHARMA.NS,Pharma,1248.62,1245.3,1228.87,16.43,16.87,59.8,1261.72,1218.83,190.0
TATASTEEL.NS,Steel,135.68,134.86,131.95,2.91,2.48,71.58,139.47,126.54,198.45
